date,portfolio_value,actions
2021-01-01,10000.0,BUY 3000.00 USD
2021-01-02,10148.169521262113,BUY 2100.00 USD
2021-01-03,9918.565855826724,BUY 1470.00 USD
2021-01-04,9962.474848023845,BUY 1029.00 USD
2021-01-05,9988.770230865413,BUY 720.30 USD
2021-01-06,10347.7496166633,BUY 504.21 USD
2021-01-07,10527.634157964987,BUY 352.95 USD
2021-01-08,11021.45255819398,BUY 247.06 USD
2021-01-09,11284.184908815418,BUY 172.94 USD
2021-01-10,11619.859549202785,BUY 121.06 USD
2021-01-11,11519.393327766797,BUY 84.74 USD
2021-01-12,12300.20528769409,BUY 59.32 USD
2021-01-13,12025.735942094503,BUY 41.52 USD
2021-01-14,11272.139181575078,BUY 29.07 USD
2021-01-15,11347.869446540184,BUY 20.35 USD
2021-01-16,11784.405205645819,BUY 14.24 USD
2021-01-17,11593.851891930679,BUY 9.97 USD
2021-01-18,11681.364043112699,BUY 6.98 USD
2021-01-19,11697.35973322876,BUY 4.89 USD
2021-01-20,11536.869714911794,BUY 3.42 USD
2021-01-21,10935.861645726522,BUY 2.39 USD
2021-01-22,10958.037004089028,BUY 1.68 USD
2021-01-23,10562.903339607552,BUY 1.17 USD
2021-01-24,10352.427199043315,BUY 0.82 USD
2021-01-25,11009.180628492066,BUY 0.57 USD
2021-01-26,11250.547325758529,BUY 0.40 USD
2021-01-27,11188.937533692173,BUY 0.28 USD
2021-01-28,11562.099898170598,BUY 0.20 USD
2021-01-29,11785.679399655684,BUY 0.14 USD
2021-01-30,11807.297555541207,BUY 0.10 USD
2021-01-31,11812.67616417151,BUY 0.07 USD
2021-02-01,11855.363620796463,BUY 0.05 USD
2021-02-02,11504.08442763924,BUY 0.03 USD
2021-02-03,11688.809579265308,BUY 0.02 USD
2021-02-04,11799.999812676384,BUY 0.02 USD
2021-02-05,11665.084733760032,BUY 0.01 USD
2021-02-06,11300.128982103228,BUY 0.01 USD
2021-02-07,11640.840336689173,BUY 0.01 USD
2021-02-08,11658.597389502578,BUY 0.00 USD
2021-02-09,11979.885962421153,BUY 0.00 USD
2021-02-10,12036.394101634916,BUY 0.00 USD
2021-02-11,12030.972815226063,BUY 0.00 USD
2021-02-12,12741.854730245863,BUY 0.00 USD
2021-02-13,12626.147396078659,BUY 0.00 USD
2021-02-14,12698.781434291799,BUY 0.00 USD
2021-02-15,12365.391280917765,BUY 0.00 USD
2021-02-16,12106.272252361568,BUY 0.00 USD
2021-02-17,11324.774728909537,BUY 0.00 USD
2021-02-18,11205.999045393588,BUY 0.00 USD
2021-02-19,11341.808372196483,BUY 0.00 USD
2021-02-20,10850.058629923411,BUY 0.00 USD
2021-02-21,10419.529104424382,BUY 0.00 USD
2021-02-22,10233.328638284118,BUY 0.00 USD
2021-02-23,10097.77538211554,BUY 0.00 USD
2021-02-24,9830.066032134444,BUY 0.00 USD
2021-02-25,10833.500195995486,BUY 0.00 USD
2021-02-26,11051.137001594732,BUY 0.00 USD
2021-02-27,11003.007380538967,BUY 0.00 USD
2021-02-28,10757.933736747284,BUY 0.00 USD
2021-03-01,11596.275530105973,BUY 0.00 USD
2021-03-02,11620.806236061626,BUY 0.00 USD
2021-03-03,11361.534631756202,BUY 0.00 USD
2021-03-04,11496.180764934215,BUY 0.00 USD
2021-03-05,10789.469782225116,BUY 0.00 USD
2021-03-06,11516.059837949644,BUY 0.00 USD
2021-03-07,11352.448258960178,BUY 0.00 USD
2021-03-08,11515.86760112392,BUY 0.00 USD
2021-03-09,11796.03846659697,BUY 0.00 USD
2021-03-10,11706.12634755125,BUY 0.00 USD
2021-03-11,11227.044275850047,BUY 0.00 USD
2021-03-12,11369.468625029798,BUY 0.00 USD
2021-03-13,10236.832138815731,BUY 0.00 USD
2021-03-14,9914.751211530467,BUY 0.00 USD
2021-03-15,10041.030052504753,BUY 0.00 USD
2021-03-16,9448.692381332487,BUY 0.00 USD
2021-03-17,9242.748237282656,BUY 0.00 USD
2021-03-18,8734.623918565634,BUY 0.00 USD
2021-03-19,8593.522808621738,BUY 0.00 USD
2021-03-20,7559.787220466478,BUY 0.00 USD
2021-03-21,8193.787210407832,BUY 0.00 USD
2021-03-22,7465.760346987398,BUY 0.00 USD
2021-03-23,7559.967927574006,BUY 0.00 USD
2021-03-24,6983.7409223892955,BUY 0.00 USD
2021-03-25,7758.186039694209,BUY 0.00 USD
2021-03-26,7685.758718800042,BUY 0.00 USD
2021-03-27,7871.545087613113,BUY 0.00 USD
2021-03-28,7734.176269286921,BUY 0.00 USD
2021-03-29,7148.92662457652,BUY 0.00 USD
2021-03-30,6965.186370664057,BUY 0.00 USD
2021-03-31,7160.062871432225,BUY 0.00 USD
2021-04-01,7493.604327524585,BUY 0.00 USD
2021-04-02,7362.743455320641,BUY 0.00 USD
2021-04-03,7559.17180813077,BUY 0.00 USD
2021-04-04,7864.574545793599,BUY 0.00 USD
2021-04-05,7407.52786541158,BUY 0.00 USD
2021-04-06,7111.340948091866,BUY 0.00 USD
2021-04-07,7173.806862426151,BUY 0.00 USD
2021-04-08,6773.008996779666,BUY 0.00 USD
2021-04-09,6722.829583250423,BUY 0.00 USD
2021-04-10,7505.657002474517,BUY 0.00 USD
2021-04-11,7395.805087968681,BUY 0.00 USD
2021-04-12,7467.981945287056,BUY 0.00 USD
2021-04-13,7163.477503831097,BUY 0.00 USD
2021-04-14,7817.433273246786,BUY 0.00 USD
2021-04-15,8124.740253760454,BUY 0.00 USD
2021-04-16,8084.384353579043,BUY 0.00 USD
2021-04-17,7684.909745234488,BUY 0.00 USD
2021-04-18,7635.324448295484,BUY 0.00 USD
2021-04-19,7172.543177978638,BUY 0.00 USD
2021-04-20,7140.744454999813,BUY 0.00 USD
2021-04-21,7149.574089338162,BUY 0.00 USD
2021-04-22,6369.389196360935,BUY 0.00 USD
2021-04-23,6505.83296198456,BUY 0.00 USD
2021-04-24,6750.0317265799085,BUY 0.00 USD
2021-04-25,6960.598286462034,BUY 0.00 USD
2021-04-26,6363.031555361974,BUY 0.00 USD
2021-04-27,6404.638378121858,BUY 0.00 USD
2021-04-28,6929.975229240448,BUY 0.00 USD
2021-04-29,6903.806408105566,BUY 0.00 USD
2021-04-30,7216.618795499926,BUY 0.00 USD
2021-05-01,7042.234762537805,BUY 0.00 USD
2021-05-02,6728.860855324142,BUY 0.00 USD
2021-05-03,6784.664868980348,BUY 0.00 USD
2021-05-04,6946.389773224615,BUY 0.00 USD
2021-05-05,7100.504234941388,BUY 0.00 USD
2021-05-06,6810.533494958646,BUY 0.00 USD
2021-05-07,6853.155414617625,BUY 0.00 USD
2021-05-08,6814.52296336779,BUY 0.00 USD
2021-05-09,6591.2070364189485,BUY 0.00 USD
2021-05-10,6811.1615406361125,BUY 0.00 USD
2021-05-11,6750.121904890727,BUY 0.00 USD
